[2025-01-09 16:03:13] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-01-09 16:03:13] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2025-01-09 16:03:13] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-01-09 16:03:13] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-01-09 16:03:13] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-01-09 16:03:13] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-01-09 16:03:13] [class-ss-setup-task.php:33] Creating archive directory: /Users/swatipriya/Local Sites/adviti-blog/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1736438593/
[2025-01-09 16:03:13] [class-ss-setup-task.php:72] Adding origin URL to queue: http://adviti-blog.static/
[2025-01-09 16:03:13] [class-ss-setup-task.php:152] Adding files from directory: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-150x150.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-150x150.webp
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-scaled.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-scaled.webp
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-1536x1536.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-1536x1536.webp
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-300x236.jpeg to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-300x236.jpeg
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k.webp
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-768x768.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-768x768.webp
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-1024x806.jpeg to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-1024x806.jpeg
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-scaled.jpeg to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-scaled.jpeg
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-2048x2048.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-2048x2048.webp
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/cropped-Advi-Yuvi-scaled-1-768x437.jpeg to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/cropped-Advi-Yuvi-scaled-1-768x437.jpeg
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-1536x1208.jpeg to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-1536x1208.jpeg
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/cropped-Advi-Yuvi-scaled-1-150x150.jpeg to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/cropped-Advi-Yuvi-scaled-1-150x150.jpeg
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-150x150.jpeg to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/Advi-Yuvi-150x150.jpeg
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-1024x1024.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/il_fullxfull.4488972880_3h3k-1024x1024.webp
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/ospqedbiq47c1-300x285.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/ospqedbiq47c1-300x285.webp
[2025-01-09 16:03:13] [class-ss-setup-task.php:157] Adding file /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/ospqedbiq47c1-150x150.webp to queue as: /Users/swatipriya/Local Sites/Untitled/adviti-blog/wp-content/uploads/2025/01/ospqedbiq47c1-150x150.webp
